2016-02-17 23:36:27 status half-installed klibc-utils:armhf 2.0.3-0ubuntu1
2016-02-17 23:36:28 status unpacked klibc-utils:armhf 2.0.3-0ubuntu1
2016-02-17 23:36:28 status unpacked klibc-utils:armhf 2.0.3-0ubuntu1
2016-02-17 23:36:28 install kmod:armhf <none> 15-0ubuntu6
2016-02-17 23:36:28 status half-installed kmod:armhf 15-0ubuntu6
2016-02-17 23:36:28 status unpacked kmod:armhf 15-0ubuntu6
2016-02-17 23:36:28 status unpacked kmod:armhf 15-0ubuntu6
2016-02-17 23:36:28 install libacl1:armhf <none> 2.2.52-1
2016-02-17 23:36:28 status half-installed libacl1:armhf 2.2.52-1
2016-02-17 23:36:29 status unpacked libacl1:armhf 2.2.52-1
2016-02-17 23:36:29 status unpacked libacl1:armhf 2.2.52-1
2016-02-17 23:36:29 install libattr1:armhf <none> 1:2.4.47-1ubuntu1
2016-02-17 23:36:29 status half-installed libattr1:armhf 1:2.4.47-1ubuntu1
2016-02-17 23:36:29 status unpacked libattr1:armhf 1:2.4.47-1ubuntu1
2016-02-17 23:36:29 status unpacked libattr1:armhf 1:2.4.47-1ubuntu1
2016-02-17 23:36:29 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2016-02-17 23:36:29 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2016-02-17 23:36:29 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2016-02-17 23:36:30 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2016-02-17 23:36:30 install libaudit1:armhf <none> 1:2.3.2-2ubuntu1
2016-02-17 23:36:30 status half-installed libaudit1:armhf 1:2.3.2-2ubuntu1
2016-02-17 23:36:30 status unpacked libaudit1:armhf 1:2.3.2-2ubuntu1
2016-02-17 23:36:30 status unpacked libaudit1:armhf 1:2.3.2-2ubuntu1
2016-02-17 23:36:30 install libblkid1:armhf <none> 2.20.1-5.1ubuntu20
2016-02-17 23:36:30 status half-installed libblkid1:armhf 2.20.1-5.1ubuntu20
2016-02-17 23:36:31 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu20
2016-02-17 23:36:31 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu20
2016-02-17 23:36:31 install libbz2-1.0:armhf <none> 1.0.6-5
2016-02-17 23:36:31 status half-installed libbz2-1.0:armhf 1.0.6-5
2016-02-17 23:36:31 status unpacked libbz2-1.0:armhf 1.0.6-5
2016-02-17 23:36:31 status unpacked libbz2-1.0:armhf 1.0.6-5
2016-02-17 23:36:31 install libc-bin:armhf <none> 2.19-0ubuntu6
2016-02-17 23:36:31 status half-installed libc-bin:armhf 2.19-0ubuntu6
2016-02-17 23:36:32 status unpacked libc-bin:armhf 2.19-0ubuntu6
2016-02-17 23:36:32 status unpacked libc-bin:armhf 2.19-0ubuntu6
2016-02-17 23:36:32 upgrade libc6:armhf 2.19-0ubuntu6 2.19-0ubuntu6
2016-02-17 23:36:32 status half-configured libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:32 status unpacked libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:32 status half-installed libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:33 status half-installed libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:33 status unpacked libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:33 status unpacked libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:34 install libcap2:armhf <none> 1:2.24-0ubuntu2
2016-02-17 23:36:34 status half-installed libcap2:armhf 1:2.24-0ubuntu2
2016-02-17 23:36:34 status unpacked libcap2:armhf 1:2.24-0ubuntu2
2016-02-17 23:36:34 status unpacked libcap2:armhf 1:2.24-0ubuntu2
2016-02-17 23:36:34 install libcgmanager0:armhf <none> 0.24-0ubuntu5
2016-02-17 23:36:34 status half-installed libcgmanager0:armhf 0.24-0ubuntu5
2016-02-17 23:36:34 status unpacked libcgmanager0:armhf 0.24-0ubuntu5
2016-02-17 23:36:34 status unpacked libcgmanager0:armhf 0.24-0ubuntu5
2016-02-17 23:36:35 install libcomerr2:armhf <none> 1.42.9-3ubuntu1
2016-02-17 23:36:35 status half-installed libcomerr2:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:35 status unpacked libcomerr2:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:35 status unpacked libcomerr2:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:35 install libdb5.3:armhf <none> 5.3.28-3ubuntu3
2016-02-17 23:36:35 status half-installed libdb5.3:armhf 5.3.28-3ubuntu3
2016-02-17 23:36:35 status unpacked libdb5.3:armhf 5.3.28-3ubuntu3
2016-02-17 23:36:35 status unpacked libdb5.3:armhf 5.3.28-3ubuntu3
2016-02-17 23:36:36 install libdbus-1-3:armhf <none> 1.6.18-0ubuntu4
2016-02-17 23:36:36 status half-installed libdbus-1-3:armhf 1.6.18-0ubuntu4
2016-02-17 23:36:36 status unpacked libdbus-1-3:armhf 1.6.18-0ubuntu4
2016-02-17 23:36:36 status unpacked libdbus-1-3:armhf 1.6.18-0ubuntu4
2016-02-17 23:36:36 install libdebconfclient0:armhf <none> 0.187ubuntu1
2016-02-17 23:36:36 status half-installed libdebconfclient0:armhf 0.187ubuntu1
2016-02-17 23:36:36 status unpacked libdebconfclient0:armhf 0.187ubuntu1
2016-02-17 23:36:36 status unpacked libdebconfclient0:armhf 0.187ubuntu1
2016-02-17 23:36:37 install libdrm2:armhf <none> 2.4.52-1
2016-02-17 23:36:37 status half-installed libdrm2:armhf 2.4.52-1
2016-02-17 23:36:37 status unpacked libdrm2:armhf 2.4.52-1
2016-02-17 23:36:37 status unpacked libdrm2:armhf 2.4.52-1
2016-02-17 23:36:37 install libgcc1:armhf <none> 1:4.9-20140406-0ubuntu1
2016-02-17 23:36:37 status half-installed libgcc1:armhf 1:4.9-20140406-0ubuntu1
2016-02-17 23:36:37 status unpacked libgcc1:armhf 1:4.9-20140406-0ubuntu1
2016-02-17 23:36:38 status unpacked libgcc1:armhf 1:4.9-20140406-0ubuntu1
2016-02-17 23:36:38 install libjson-c2:armhf <none> 0.11-3ubuntu1
2016-02-17 23:36:38 status half-installed libjson-c2:armhf 0.11-3ubuntu1
2016-02-17 23:36:39 status unpacked libjson-c2:armhf 0.11-3ubuntu1
2016-02-17 23:36:39 status unpacked libjson-c2:armhf 0.11-3ubuntu1
2016-02-17 23:36:39 install libjson0:armhf <none> 0.11-3ubuntu1
2016-02-17 23:36:39 status half-installed libjson0:armhf 0.11-3ubuntu1
2016-02-17 23:36:39 status unpacked libjson0:armhf 0.11-3ubuntu1
2016-02-17 23:36:39 status unpacked libjson0:armhf 0.11-3ubuntu1
2016-02-17 23:36:39 install libklibc:armhf <none> 2.0.3-0ubuntu1
2016-02-17 23:36:39 status half-installed libklibc:armhf 2.0.3-0ubuntu1
2016-02-17 23:36:40 status unpacked libklibc:armhf 2.0.3-0ubuntu1
2016-02-17 23:36:40 status unpacked libklibc:armhf 2.0.3-0ubuntu1
2016-02-17 23:36:40 install libkmod2:armhf <none> 15-0ubuntu6
2016-02-17 23:36:40 status half-installed libkmod2:armhf 15-0ubuntu6
2016-02-17 23:36:40 status unpacked libkmod2:armhf 15-0ubuntu6
2016-02-17 23:36:40 status unpacked libkmod2:armhf 15-0ubuntu6
2016-02-17 23:36:41 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2016-02-17 23:36:41 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2016-02-17 23:36:41 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2016-02-17 23:36:41 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2016-02-17 23:36:41 install libmount1:armhf <none> 2.20.1-5.1ubuntu20
2016-02-17 23:36:41 status half-installed libmount1:armhf 2.20.1-5.1ubuntu20
2016-02-17 23:36:41 status unpacked libmount1:armhf 2.20.1-5.1ubuntu20
2016-02-17 23:36:41 status unpacked libmount1:armhf 2.20.1-5.1ubuntu20
2016-02-17 23:36:42 install libncurses5:armhf <none> 5.9+20140118-1ubuntu1
2016-02-17 23:36:42 status half-installed libncurses5:armhf 5.9+20140118-1ubuntu1
2016-02-17 23:36:42 status unpacked libncurses5:armhf 5.9+20140118-1ubuntu1
2016-02-17 23:36:42 status unpacked libncurses5:armhf 5.9+20140118-1ubuntu1
2016-02-17 23:36:42 install libncursesw5:armhf <none> 5.9+20140118-1ubuntu1
2016-02-17 23:36:42 status half-installed libncursesw5:armhf 5.9+20140118-1ubuntu1
2016-02-17 23:36:42 status unpacked libncursesw5:armhf 5.9+20140118-1ubuntu1
2016-02-17 23:36:42 status unpacked libncursesw5:armhf 5.9+20140118-1ubuntu1
2016-02-17 23:36:43 install libnih-dbus1:armhf <none> 1.0.3-4ubuntu25
2016-02-17 23:36:43 status half-installed libnih-dbus1:armhf 1.0.3-4ubuntu25
2016-02-17 23:36:43 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu25
2016-02-17 23:36:43 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu25
2016-02-17 23:36:43 install libnih1:armhf <none> 1.0.3-4ubuntu25
2016-02-17 23:36:43 status half-installed libnih1:armhf 1.0.3-4ubuntu25
2016-02-17 23:36:43 status unpacked libnih1:armhf 1.0.3-4ubuntu25
2016-02-17 23:36:43 status unpacked libnih1:armhf 1.0.3-4ubuntu25
2016-02-17 23:36:44 install libpam-modules:armhf <none> 1.1.8-1ubuntu2
2016-02-17 23:36:44 status half-installed libpam-modules:armhf 1.1.8-1ubuntu2
2016-02-17 23:36:44 status unpacked libpam-modules:armhf 1.1.8-1ubuntu2
2016-02-17 23:36:44 status unpacked libpam-modules:armhf 1.1.8-1ubuntu2
2016-02-17 23:36:44 install libpam-modules-bin:armhf <none> 1.1.8-1ubuntu2
2016-02-17 23:36:44 status half-installed libpam-modules-bin:armhf 1.1.8-1ubuntu2
2016-02-17 23:36:45 status unpacked libpam-modules-bin:armhf 1.1.8-1ubuntu2
2016-02-17 23:36:45 status unpacked libpam-modules-bin:armhf 1.1.8-1ubuntu2
2016-02-17 23:36:45 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2016-02-17 23:36:45 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2016-02-17 23:36:45 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2016-02-17 23:36:45 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2016-02-17 23:36:46 install libpam0g:armhf <none> 1.1.8-1ubuntu2
2016-02-17 23:36:46 status half-installed libpam0g:armhf 1.1.8-1ubuntu2
2016-02-17 23:36:46 status unpacked libpam0g:armhf 1.1.8-1ubuntu2
